date,rate
1990-01-02,2.68650
1990-01-03,2.68750
1990-01-04,2.69050
1990-01-05,2.69150
1990-01-08,2.69250
1990-01-09,2.69600
1990-01-10,2.69450
1990-01-11,2.69750
1990-01-12,2.69850
1990-01-15,2.69950
1990-01-16,2.70050
1990-01-17,2.70150
1990-01-18,2.70450
1990-01-19,2.70550
1990-01-22,2.70650
1990-01-23,2.70750
1990-01-24,2.70850
1990-01-25,2.71150
1990-01-26,2.71250
1990-01-29,2.71350
1990-01-30,2.71450
1990-01-31,2.71550
1990-02-01,2.71950
1990-02-02,2.72050
1990-02-06,2.72150
1990-02-07,2.72250
1990-02-08,2.72550
1990-02-09,2.72650
1990-02-12,2.72750
1990-02-13,2.72850
1990-02-14,2.72950
1990-02-15,2.73250
1990-02-16,2.73350
1990-02-19,2.73450
1990-02-20,2.73550
1990-02-21,2.73650
1990-02-22,2.73950
1990-02-23,2.74050
1990-02-26,2.74150
1990-02-27,2.74250
1990-02-28,2.74350
1990-03-01,2.74650
1990-03-02,2.74750
1990-03-05,2.74850
1990-03-06,2.74950
1990-03-07,2.75050
1990-03-08,2.75350
1990-03-09,2.75450
1990-03-12,2.75550
1990-03-13,2.75650
1990-03-14,2.75750
1990-03-15,2.76050
1990-03-16,2.76150
1990-03-19,2.76350
1990-03-20,2.76450
1990-03-22,2.76750
1990-03-23,2.76850
1990-03-26,2.76950
1990-03-27,2.77050
1990-03-28,2.77150
1990-03-29,2.77450
1990-03-30,2.77550
1990-04-02,2.77650
1990-04-03,2.77750
1990-04-04,2.77850
1990-04-05,2.78150
1990-04-06,2.78250
1990-04-09,2.78350
1990-04-10,2.78850
1990-04-11,2.78950
1990-04-16,2.79050
1990-04-17,2.79150
1990-04-18,2.79250
1990-04-19,2.79550
1990-04-20,2.79650
1990-04-23,2.79750
1990-04-24,2.79850
1990-04-25,2.79950
1990-04-26,2.80250
1990-04-27,2.80450
1990-04-30,2.80550
1990-05-02,2.80650
1990-05-03,2.80950
1990-05-04,2.81050
1990-05-07,2.81150
1990-05-08,2.81250
1990-05-09,2.81350
1990-05-10,2.81650
1990-05-11,2.81750
1990-05-14,2.81850
1990-05-15,2.81950
1990-05-16,2.82050
1990-05-17,2.82350
1990-05-18,2.82450
1990-05-21,2.82550
1990-05-22,2.82650
1990-05-23,2.82750
1990-05-24,2.83030
1990-05-25,2.83110
1990-05-28,2.83190
1990-05-29,2.83270
1990-05-30,2.83350
1990-05-31,2.83590
1990-06-01,2.83670
1990-06-04,2.83750
1990-06-05,2.83830
1990-06-06,2.83910
1990-06-07,2.84150
1990-06-08,2.84230
1990-06-11,2.84310
1990-06-12,2.84390
1990-06-13,2.84470
1990-06-14,2.84710
1990-06-15,2.84790
1990-06-18,2.84870
1990-06-19,2.84950
1990-06-20,2.85030
1990-06-21,2.85270
1990-06-22,2.85350
1990-06-25,2.85430
1990-06-26,2.85510
1990-06-27,2.85590
1990-06-28,2.85830
1990-06-29,2.85910
1990-07-02,2.85990
1990-07-03,2.86070
1990-07-04,2.86150
1990-07-05,2.86330
1990-07-06,2.86370
1990-07-09,2.86410
1990-07-10,2.86490
1990-07-11,2.86570
1990-07-12,2.86810
1990-07-13,2.86890
1990-07-16,2.86970
1990-07-17,2.87050
1990-07-18,2.87110
1990-07-19,2.87190
1990-07-20,2.87250
1990-07-23,2.87310
1990-07-24,2.87370
1990-07-25,2.87430
1990-07-26,2.87490
1990-07-27,2.87550
1990-07-30,2.87610
1990-07-31,2.87670
1990-08-01,2.87730
1990-08-02,2.87810
1990-08-03,2.87870
1990-08-06,2.87930
1990-08-07,2.87990
1990-08-08,2.88050
1990-08-09,2.88130
1990-08-10,2.88190
1990-08-13,2.88250
1990-08-14,2.88310
1990-08-15,2.88350
1990-08-16,2.88390
1990-08-17,2.88430
1990-08-20,2.88470
1990-08-21,2.88510
1990-08-22,2.88550
1990-08-23,2.88590
1990-08-24,2.88630
1990-08-27,2.88670
1990-08-28,2.88710
1990-08-29,2.88750
1990-08-30,2.88790
1990-08-31,2.88830
1990-09-03,2.88830
1990-09-04,2.88910
1990-09-05,2.88950
1990-09-06,2.88990
1990-09-07,2.89030
1990-09-10,2.89070
1990-09-11,2.89110
1990-09-12,2.89150
1990-09-13,2.89190
1990-09-14,2.89230
1990-09-17,2.89270
1990-09-18,2.89310
1990-09-19,2.89350
1990-09-20,2.89390
1990-09-21,2.89430
1990-09-24,2.89470
1990-09-25,2.89510
1990-09-26,2.89550
1990-09-27,2.89590
1990-09-28,2.89630
1990-10-01,2.89670
1990-10-02,2.89750
1990-10-03,2.89810
1990-10-04,2.89870
1990-10-05,2.89930
1990-10-08,2.89990
1990-10-09,2.90050
1990-10-10,2.90230
1990-10-11,2.90320
1990-10-15,2.90390
1990-10-16,2.90470
1990-10-17,2.90550
1990-10-18,2.90790
1990-10-19,2.90870
1990-10-22,2.90950
1990-10-23,2.91030
1990-10-24,2.91110
1990-10-25,2.91350
1990-10-26,2.91430
1990-10-29,2.91510
1990-10-30,2.91910
1990-10-31,2.91990
1990-11-05,2.92070
1990-11-06,2.92150
1990-11-07,2.92230
1990-11-08,2.92350
1990-11-09,2.92390
1990-11-12,2.92430
1990-11-13,2.92470
1990-11-14,2.92510
1990-11-15,2.92630
1990-11-16,2.92710
1990-11-19,2.92750
1990-11-21,2.92790
1990-11-22,2.92910
1990-11-23,2.92950
1990-11-26,2.92990
1990-11-27,2.93030
1990-11-28,2.93070
1990-11-29,2.93190
1990-11-30,2.93230
1990-12-03,2.93270
1990-12-04,2.93310
1990-12-05,2.93350
1990-12-06,2.93470
1990-12-07,2.93510
1990-12-10,2.93590
1990-12-11,2.93630
1990-12-13,2.93750
1990-12-14,2.93790
1990-12-17,2.93830
1990-12-18,2.93870
1990-12-19,2.93910
1990-12-20,2.94030
1990-12-21,2.94110
1990-12-24,2.94150
1990-12-26,2.94190
1990-12-27,2.94390
1990-12-28,2.94430
1991-01-02,2.94470
1991-01-03,2.94590
1991-01-04,2.94630
1991-01-07,2.94670
1991-01-08,2.94710
1991-01-09,2.94750
1991-01-10,2.94870
1991-01-11,2.94910
1991-01-14,2.94950
1991-01-15,2.94990
1991-01-16,2.95030
1991-01-17,2.95150
1991-01-18,2.95190
1991-01-21,2.95230
1991-01-22,2.95270
1991-01-23,2.95310
1991-01-24,2.95430
1991-01-25,2.95470
1991-01-28,2.95510
1991-01-29,2.95550
1991-01-30,2.95590
1991-01-31,2.95710
1991-02-01,2.95790
1991-02-04,2.95830
1991-02-06,2.95870
1991-02-07,2.95990
1991-02-08,2.96030
1991-02-11,2.96070
1991-02-12,2.96110
1991-02-13,2.96150
1991-02-14,2.96270
1991-02-15,2.96310
1991-02-18,2.96350
1991-02-19,2.96390
1991-02-20,2.96430
1991-02-21,2.96550
1991-02-22,2.96590
1991-02-25,2.96630
1991-02-26,2.96670
1991-02-27,2.96710
1991-02-28,2.96830
1991-03-01,2.96870
1991-03-04,2.96910
1991-03-05,2.96950
1991-03-06,2.96990
1991-03-07,2.97110
1991-03-08,2.97150
